Name,KHL_Team,Team,Pos,G,A,PPG,SHG,GWG,PPA,SHA,SOG,BLK,HIT,WIN,GA,SV,SO,K_G,K_A,K_PPG,K_SHG,K_GWG,K_PPA,K_SHA,K_SOG,K_BLK,K_HIT,K_WIN,K_GA,K_SV,K_SO,K_TOTAL
Evgeni Malkin,Got Malk?,PIT,C,25,49,7,0,5,17,0,171,22,38,0,0,0,0,150,196,14,0,5,34,0,153.9,22,38,0,0,0,0,612.9
Ryan Reaves,Got Malk?,VEG,RW,8,7,0,0,1,0,0,61,24,316,0,0,0,0,48,28,0,0,1,0,0,54.9,24,316,0,0,0,0,471.9
Torey Krug,Got Malk?,BOS,D,9,40,2,0,4,26,0,144,48,36,0,0,0,0,54,160,4,0,4,52,0,129.6,48,36,0,0,0,0,487.6
Ryan Ellis,Got Malk?,NSH,D,8,30,2,0,3,7,0,114,96,48,0,0,0,0,48,120,4,0,3,14,0,102.60000000000001,96,48,0,0,0,0,435.6
Carter Hart,Got Malk?,PHI,G,0,0,0,0,0,0,0,0,0,0,24,95,1005,1,0,0,0,0,0,0,0,0,0,0,120,-285,603.0,6,444.0
Steven Stamkos,Got Malk?,TBL,C,29,37,10,0,6,9,0,176,38,69,0,0,0,0,174,148,20,0,6,18,0,158.4,38,69,0,0,0,0,631.4
Boone Jenner,Got Malk?,CBJ,C,11,13,2,0,1,2,1,179,80,109,0,0,0,0,66,52,4,0,1,4,2,161.1,80,109,0,0,0,0,479.1
William Nylander,Got Malk?,TOR,C,31,28,9,0,7,8,0,197,14,9,0,0,0,0,186,112,18,0,7,16,0,177.3,14,9,0,0,0,0,539.3
Kyle Connor,Shushu Kitty Litter,WPG,LW,38,35,9,1,7,8,1,239,17,18,0,0,0,0,228,140,18,3,7,16,2,215.1,17,18,0,0,0,0,664.1
Brock Nelson,Shushu Kitty Litter,NYI,C,26,28,4,0,5,3,0,175,44,49,0,0,0,0,156,112,8,0,5,6,0,157.5,44,49,0,0,0,0,537.5
Tyler Seguin,Shushu Kitty Litter,DAL,C,17,33,3,0,6,12,0,245,31,90,0,0,0,0,102,132,6,0,6,24,0,220.5,31,90,0,0,0,0,611.5
Jacob Trouba,Shushu Kitty Litter,NYR,D,7,20,4,0,1,4,2,168,128,173,0,0,0,0,42,80,8,0,1,8,4,151.20000000000002,128,173,0,0,0,0,595.2
Ivan Provorov,Shushu Kitty Litter,PHI,D,13,23,7,0,3,9,1,150,111,84,0,0,0,0,78,92,14,0,3,18,2,135.0,111,84,0,0,0,0,537.0
Mikko Koskinen,Shushu Kitty Litter,EDM,G,0,0,0,0,0,0,0,0,0,0,18,97,1078,1,0,0,0,0,0,0,0,0,0,0,90,-291,646.8,6,451.79999999999995
Anders Lee,Shushu Kitty Litter,NYI,C,20,23,2,0,6,5,0,195,50,102,0,0,0,0,120,92,4,0,6,10,0,175.5,50,102,0,0,0,0,559.5
Jakub Vrana,Shushu Kitty Litter,WSH,LW,25,27,1,0,6,11,0,187,16,29,0,0,0,0,150,108,2,0,6,22,0,168.3,16,29,0,0,0,0,501.3
Zach Parise,Shushu Kitty Litter,MIN,LW,25,21,12,1,4,6,0,155,38,27,0,0,0,0,150,84,24,3,4,12,0,139.5,38,27,0,0,0,0,481.5
