Joel Farabee\farabjo01,PHI,LW,8,13,1,0,1,1,0,81,18,31
Jesper Fast\fastje01,NYR,RW,12,17,0,2,1,0,0,84,53,125
Justin Faulk\faulkju01,STL,D,5,11,1,0,1,2,1,147,76,82
Taylor Fedun\fedunta01,DAL,D,2,7,0,0,0,0,0,40,19,16
Martin Fehervary\feherma01,WSH,D,0,1,0,0,0,0,0,7,2,14
Micheal Ferland\ferlami01,VAN,LW,1,4,0,0,0,0,0,15,2,40
Mario Ferraro\ferrama01,SJS,D,2,9,0,0,0,0,1,63,58,120
Kevin Fiala\fialake01,MIN,LW,23,31,9,0,4,9,0,175,18,25
Valtteri Filppula\filppva01,DET,C,6,15,1,1,0,4,0,63,31,28
Christian Fischer\fischch01,ARI,RW,6,3,0,0,1,0,0,83,22,140
Cale Fleury\fleurca01,MTL,D,1,0,0,0,0,0,0,45,45,102
Haydn Fleury\fleurha01,CAR,D,4,10,0,0,0,0,1,65,45,48
Warren Foegele\foegewa01,CAR,LW,13,17,0,3,1,0,0,129,17,64
Steven Fogarty\fogarst01,NYR,C,0,0,0,0,0,0,0,2,4,4
Marcus Foligno\foligma01,MIN,LW,11,14,0,0,0,0,0,86,36,184
Nick Foligno\foligni01,CBJ,LW,10,21,2,0,1,2,1,131,50,212
Christian Folin\folinch01,MTL,D,1,1,0,0,0,0,0,13,21,38
Derek Forbort\forbode01,TOT,D,0,1,0,0,0,0,0,22,30,35
Derek Forbort\forbode01,LAK,D,0,1,0,0,0,0,0,15,17,27
Derek Forbort\forbode01,CGY,D,0,0,0,0,0,0,0,7,13,8
Filip Forsberg\forsbfi01,NSH,C,21,27,7,0,2,7,0,198,27,82
Liam Foudy\foudyli01,CBJ,C,0,1,0,0,0,0,0,3,0,3
Cam Fowler\fowleca01,ANA,D,9,20,2,0,2,6,0,117,58,25
Adam Fox\foxad01,NYR,D,8,34,1,0,4,12,0,125,92,35
Trent Frederic\fredetr01,BOS,C,0,0,0,0,0,0,0,1,0,8
Mark Friedman\friedma01,PHI,D,0,1,0,0,0,0,0,2,5,8
Martin Frk\frkma01,LAK,RW,6,2,1,0,1,0,0,26,3,14
Michael Frolik\frolimi01,TOT,LW,6,8,0,2,1,0,1,70,22,32
Michael Frolik\frolimi01,CGY,LW,5,5,0,1,1,0,1,44,11,19
Michael Frolik\frolimi01,BUF,LW,1,3,0,1,0,0,0,26,11,13
Morgan Frost\frostmo01,PHI,C,2,5,0,1,0,0,0,31,4,4
Sam Gagner\gagnesa01,TOT,C,6,7,2,0,0,1,0,79,10,22
Sam Gagner\gagnesa01,EDM,C,5,7,1,0,0,1,0,69,9,19
Sam Gagner\gagnesa01,DET,C,1,0,1,0,0,0,0,10,1,3
Alex Galchenyuk\galchal01,TOT,C,8,16,2,0,0,5,0,86,17,52
Alex Galchenyuk\galchal01,PIT,C,5,12,2,0,0,4,0,65,9,32
Alex Galchenyuk\galchal01,MIN,C,3,4,0,0,0,1,0,21,8,20
Brendan Gallagher\gallabr01,MTL,RW,22,21,1,0,1,4,0,226,29,53
Dylan Gambrell\gambrdy01,SJS,C,5,6,0,0,1,1,0,43,29,40
Jake Gardiner\gardija01,CAR,D,4,20,1,0,2,10,0,87,42,43
Rhett Gardner\gardnrh01,DAL,C,0,0,0,0,0,0,0,8,2,8
Conor Garland\garlaco01,ARI,RW,22,17,4,0,5,6,0,158,20,26
Adam Gaudette\gaudead01,VAN,C,12,21,4,0,1,8,0,75,20,29
Johnny Gaudreau\gaudrjo01,CGY,LW,18,40,6,0,2,12,0,209,11,1
Brendan Gaunce\gauncbr01,BOS,C,0,1,0,0,0,0,0,0,0,2
Cameron Gaunce\gauncca01,TBL,D,1,3,0,0,0,0,0,5,2,5
Frederik Gauthier\gauthfr01,TOR,C,7,5,0,0,0,0,0,42,23,66
Julien Gauthier\gauthju01,TOT,RW,0,3,0,0,0,0,0,10,7,15
Julien Gauthier\gauthju01,NYR,RW,0,2,0,0,0,0,0,9,7,11
Julien Gauthier\gauthju01,CAR,RW,0,1,0,0,0,0,0,1,0,4
Vladislav Gavrikov\gavrivl01,CBJ,D,5,13,0,0,1,0,0,81,92,79
Morgan Geekie\geekimo01,CAR,C,3,1,0,0,0,0,0,4,4,1
Nathan Gerbe\gerbena01,CBJ,C,4,6,0,0,0,0,0,55,8,46
Timothy Gettinger\gettiti01,NYR,LW,0,1,0,0,0,0,0,3,1,5
Ryan Getzlaf\getzlry01,ANA,C,13,29,3,0,5,6,0,143,69,125
Brian Gibbons\gibbobr02,CAR,C,0,0,0,0,0,0,0,9,9,7
Dennis Gilbert\gilbede01,CHI,D,1,2,0,0,0,0,0,12,33,74
John Gilmour\gilmojo01,BUF,D,0,0,0,0,0,0,0,5,3,3
Mark Giordano\giordma01,CGY,D,5,26,2,0,0,9,2,157,148,42
Samuel Girard\girarsa01,COL,D,4,30,1,0,1,12,0,96,92,46
Zemgus Girgensons\girgeze01,BUF,C,12,7,0,1,1,0,0,85,20,110
Claude Giroux\giroucl01,PHI,C,21,32,7,1,6,13,1,197,16,45
Cody Glass\glassco01,VEG,C,5,7,1,0,1,5,0,51,6,15
Luke Glendening\glendlu01,DET,C,6,3,0,1,1,0,0,76,68,147
Nikolay Goldobin\goldoni01,VAN,LW,0,0,0,0,0,0,0,0,0,1
Alex Goligoski\goligal01,ARI,D,4,28,2,0,0,9,0,101,134,91
Cody Goloubef\golouco01,TOT,D,1,1,0,0,0,0,0,18,24,45
Cody Goloubef\golouco01,OTT,D,1,1,0,0,0,0,0,17,24,40
Cody Goloubef\golouco01,DET,D,0,0,0,0,0,0,0,1,0,5
Barclay Goodrow\goodrba01,TOT,RW,8,18,0,0,2,2,1,102,66,162
Barclay Goodrow\goodrba01,SJS,RW,8,16,0,0,2,2,1,94,63,140
Barclay Goodrow\goodrba01,TBL,RW,0,2,0,0,0,0,0,8,3,22
Shayne Gostisbehere\gostish01,PHI,D,5,7,1,0,1,4,0,73,37,14
